"Year","metric","priority_group","sdi_cat","ASR","lower_CI","upper_CI"
1992,"Associated_Deaths","Critical","middle",1.06293905563557,0.941255948026602,1.8597146953982
1992,"Associated_Deaths","Critical","middle_high",0.530889756004447,0.27939949346286,4.89247877180713
1992,"Associated_Deaths","Critical","middle_low",1.48254599822348,1.22909700316455,7.53892359808846
1992,"Associated_Deaths","High","high",0.443087701862314,0.304760295336138,1.25620563393179
1992,"Associated_Deaths","High","low",1.96433585257566,1.87192971157922,3.01110995571755
1992,"Associated_Deaths","High","middle",1.3313301490141,1.1667009051015,3.07961068406939
1992,"Associated_Deaths","High","middle_high",1.02186164405148,0.58280062153779,10.4914289677454
1992,"Associated_Deaths","High","middle_low",1.43608578844929,1.08911869688437,15.011089422039
1992,"Associated_Deaths","Medium","high",0.689181262385964,0.426853376572413,1.93692006649845
1992,"Associated_Deaths","Medium","low",3.99433221143694,3.76420121392329,5.56794791494553
1992,"Associated_Deaths","Medium","middle",1.6051001352445,1.25120721945777,4.28997015747182
1992,"Associated_Deaths","Medium","middle_high",1.19790098440032,0.772170120738246,15.4834628026741
1992,"Associated_Deaths","Medium","middle_low",2.78731834387889,1.95572892602565,22.9860285363932
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","high",1.11244086063528,0.881993944588272,1.56979307688745
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",12.5897545941889,12.4580100716808,13.0781679033006
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle",4.90439271140078,4.68797271124203,5.70000074548224
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",2.21211956640053,1.84843983373718,6.28256173132984
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",7.08213991506479,6.63339548489568,12.6751749823817
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","High","high",1.92286684977161,1.58548696508803,2.78771942609839
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",10.1185481314847,9.97755906629201,10.8902506178785
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle",5.64310870233176,5.40071103470636,6.90246434564689
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_high",4.13010042544478,3.61448158056727,10.6770122905123
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_low",6.53257733110598,6.01589999635038,15.8530441651356
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","high",0.973653776774834,0.576130181191514,2.28886143062611
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",8.74367029031211,8.51900926907167,10.2874805236264
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle",2.39372943978805,2.06019475383096,5.01217888185927
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",1.53368440955581,1.14754614372321,15.6993332779188
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",4.86144881292692,4.06848419897168,24.5318817045039
1992,"Attributable_Deaths","Critical","high",0.0438556487232277,0.013402240649369,0.439326144881186
1992,"Attributable_Deaths","Critical","low",0.363392997148415,0.334508376633645,0.865289438454431
1992,"Attributable_Deaths","Critical","middle",0.177649116965375,0.129108740395155,1.03692367901753
1992,"Attributable_Deaths","Critical","middle_high",0.088691047679206,0.0116487326088017,4.59453155596809
1992,"Attributable_Deaths","Critical","middle_low",0.238958247749155,0.143605892985705,6.65896878784365
1992,"Attributable_Deaths","High","high",0.0999111011683269,0.041459781142388,0.951400269193161
1992,"Attributable_Deaths","High","low",0.303682715269907,0.264613601750783,1.44802141647694
1992,"Attributable_Deaths","High","middle",0.275432749810941,0.203711512201121,2.16107101509789
1992,"Attributable_Deaths","High","middle_high",0.220389114226147,0.0560778323280939,9.96782651476224
1992,"Attributable_Deaths","High","middle_low",0.27812565416375,0.139817934365135,14.2895864729107
1992,"Attributable_Deaths","Medium","high",0.0378368576605883,0.0017268914174589,1.3492996584294
1992,"Attributable_Deaths","Medium","low",0.178171840495122,0.133901991171931,1.96597908447627
1992,"Attributable_Deaths","Medium","middle",0.0739008642880855,0.0166751314544588,3.0207847094894
1992,"Attributable_Deaths","Medium","middle_high",0.0580231413251992,0.00104524647445669,14.7945263329499
1992,"Attributable_Deaths","Medium","middle_low",0.123237816227754,0.010955929525837,21.2741516698666
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","high",6.37579128695243,5.96255209856462,6.90731529916729
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",87.0824296065777,86.8371240083437,87.5990198263965
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle",30.1361387332648,29.6064293298383,31.0523201579002
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",12.9230114725976,11.9710964050878,17.2023765561733
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",44.4806767532746,43.4369706819463,48.9471880273707
1993,"Associated_DALYs (Disability-Adjusted Life Years)","High","high",8.10956484689761,7.55288441683945,8.94462242178251
1993,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",77.4552291911242,77.1970986781887,78.2131952522989
1993,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle",29.0561931550521,28.4766448851781,30.3455949463167
1993,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_high",20.8592240469048,19.5604283472058,27.7244308798485
1993,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_low",35.1961845493539,34.0512424243964,42.3546147165504
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","high",13.1307461306719,11.8167017465424,14.8553589938117
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",200.888777290826,200.090695951183,202.568920898293
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle",54.7310906111196,53.1050453361265,57.6475879290595
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",31.6375116405414,29.8668158612249,45.2465594323451
1993,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",110.225492693151,106.524574695558,124.909496460018
1993,"Associated_Deaths","Critical","high",0.260907666179431,0.196444591267157,0.524043832826861
1993,"Associated_Deaths","Critical","low",2.40148660742086,2.34485468329138,2.83909313394259
1993,"Associated_Deaths","Critical","middle",1.10409744382406,0.981678808518736,1.82023018175409
1993,"Associated_Deaths","Critical","middle_high",0.533227692780513,0.269544609027853,5.30028183467594
1993,"Associated_Deaths","Critical","middle_low",1.48873649302323,1.25257026924485,6.3266442369566
1993,"Associated_Deaths","High","high",0.409837938505909,0.306967331771893,0.971983633959483
1993,"Associated_Deaths","High","low",2.01816308131823,1.94449819922806,2.980147056951
1993,"Associated_Deaths","High","middle",1.35317203408079,1.18833707369766,2.91874714820457
1993,"Associated_Deaths","High","middle_high",1.07938801971442,0.597159104137802,11.4139574903293
1993,"Associated_Deaths","High","middle_low",1.4348420937176,1.11254914454164,12.3143914638376
1993,"Associated_Deaths","Medium","high",0.56133817858444,0.374335279800903,1.42742677866799
1993,"Associated_Deaths","Medium","low",4.07554868143615,3.89036467897688,5.51881873716191
1993,"Associated_Deaths","Medium","middle",1.75133485740275,1.39292114662187,4.15223786848951
1993,"Associated_Deaths","Medium","middle_high",1.27310400608642,0.82329325186446,16.854795811585
1993,"Associated_Deaths","Medium","middle_low",2.79259164797903,2.03267314236146,18.9642646982016
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","high",1.05456917190216,0.880268453889111,1.38088781956386
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",13.7988884915048,13.6976457658031,14.2422381210191
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle",5.20224181972626,4.9812512264837,5.92793603976878
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",2.22630103908596,1.84005186243263,6.68150921812689
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",7.30743975132343,6.87987349652913,11.7886559285204
1993,"Attributable_DALYs (Disability-Adjusted Life Years)","High","high",1.74601170259964,1.49802724954775,2.35285765619286
